year,month,treatment,N_ID
2015,1,1,15200
2015,1,2,27091
2015,1,3,3798
2016,1,1,16386
2016,1,2,30590
2016,1,3,4752
2017,1,1,17381
2017,1,2,33892
2017,1,3,5591
2018,1,1,20316
2018,1,2,36545
2018,1,3,6530
2019,1,1,20729
2019,1,2,38742
2019,1,3,6158
2020,1,1,20966
2020,1,2,41942
2020,1,3,6885
2021,1,1,22448
2021,1,2,41941
2021,1,3,7024
2022,1,1,22637
2022,1,2,41721
2022,1,3,7545
2023,1,1,21179
2023,1,2,40836
2023,1,3,7196
2015,2,1,15188
2015,2,2,27135
2015,2,3,3794
2016,2,1,16522
2016,2,2,30734
2016,2,3,4833
2017,2,1,17305
2017,2,2,33905
2017,2,3,5643
2018,2,1,20277
2018,2,2,36565
2018,2,3,6487
2019,2,1,20691
2019,2,2,38466
2019,2,3,6258
2020,2,1,21086
2020,2,2,41992
2020,2,3,6871
2021,2,1,22439
2021,2,2,41662
2021,2,3,7126
2022,2,1,22576
2022,2,2,41640
2022,2,3,7548
2023,2,1,20893
2023,2,2,40602
2023,2,3,7048
2015,3,1,15441
2015,3,2,27579
2015,3,3,4004
2016,3,1,16651
2016,3,2,31149
2016,3,3,5053
2017,3,1,17447
2017,3,2,34372
2017,3,3,5971
2018,3,1,20212
2018,3,2,36926
2018,3,3,6590
2019,3,1,20857
2019,3,2,38785
2019,3,3,6514
2020,3,1,21175
2020,3,2,42345
2020,3,3,6956
2021,3,1,22574
2021,3,2,41770
2021,3,3,7528
2022,3,1,22847
2022,3,2,41929
2022,3,3,7858
2023,3,1,20795
2023,3,2,40749
2023,3,3,7120
2015,4,1,15490
2015,4,2,27975
2015,4,3,4175
2016,4,1,16632
2016,4,2,31312
2016,4,3,5136
2017,4,1,17509
2017,4,2,34573
2017,4,3,6163
2018,4,1,20354
2018,4,2,37070
2018,4,3,6543
2019,4,1,20860
2019,4,2,39034
2019,4,3,6607
2020,4,1,21149
2020,4,2,42371
2020,4,3,6760
2021,4,1,22418
2021,4,2,41723
2021,4,3,7676
2022,4,1,22866
2022,4,2,41901
2022,4,3,7894
2023,4,1,19384
2023,4,2,40502
2023,4,3,6896
2015,5,1,15462
2015,5,2,28174
2015,5,3,4204
2016,5,1,16772
2016,5,2,31604
2016,5,3,5202
2017,5,1,17643
2017,5,2,34795
2017,5,3,6367
2018,5,1,20471
2018,5,2,37355
2018,5,3,6654
2019,5,1,20899
2019,5,2,39340
2019,5,3,6659
2020,5,1,21196
2020,5,2,42178
2020,5,3,6594
2021,5,1,22224
2021,5,2,41589
2021,5,3,7730
2022,5,1,22770
2022,5,2,41795
2022,5,3,7904
2023,5,1,17089
2023,5,2,40367
2023,5,3,6409
2015,6,1,15545
2015,6,2,28459
2015,6,3,4318
2016,6,1,16832
2016,6,2,32013
2016,6,3,5190
2017,6,1,20077
2017,6,2,34982
2017,6,3,6469
2018,6,1,20434
2018,6,2,37411
2018,6,3,6646
2019,6,1,20873
2019,6,2,39516
2019,6,3,6641
2020,6,1,21260
2020,6,2,42063
2020,6,3,6613
2021,6,1,22357
2021,6,2,41678
2021,6,3,7740
2022,6,1,22664
2022,6,2,41707
2022,6,3,7812
2023,6,1,17150
2023,6,2,40236
2023,6,3,6149
2015,7,1,15926
2015,7,2,28744
2015,7,3,4425
2016,7,1,16902
2016,7,2,32234
2016,7,3,5111
2017,7,1,20068
2017,7,2,35064
2017,7,3,6540
2018,7,1,20446
2018,7,2,37543
2018,7,3,6512
2019,7,1,20634
2019,7,2,40091
2019,7,3,6709
2020,7,1,21377
2020,7,2,41908
2020,7,3,6678
2021,7,1,22434
2021,7,2,41631
2021,7,3,7761
2022,7,1,22469
2022,7,2,41541
2022,7,3,7717
2023,7,1,16880
2023,7,2,40177
2023,7,3,5991
2015,8,1,15954
2015,8,2,28901
2015,8,3,4472
2016,8,1,16952
2016,8,2,32445
2016,8,3,5111
2017,8,1,20081
2017,8,2,35275
2017,8,3,6532
2018,8,1,20495
2018,8,2,37723
2018,8,3,6363
2019,8,1,20753
2019,8,2,40363
2019,8,3,6639
2020,8,1,21506
2020,8,2,41880
2020,8,3,6676
2021,8,1,22441
2021,8,2,41648
2021,8,3,7650
2022,8,1,22333
2022,8,2,41494
2022,8,3,7641
2023,8,1,16474
2023,8,2,40017
2023,8,3,5908
2015,9,1,16019
2015,9,2,29134
2015,9,3,4483
2016,9,1,17079
2016,9,2,32789
2016,9,3,5149
2017,9,1,20014
2017,9,2,35326
2017,9,3,6277
2018,9,1,20482
2018,9,2,37859
2018,9,3,6227
2019,9,1,20653
2019,9,2,40589
2019,9,3,6624
2020,9,1,21650
2020,9,2,41788
2020,9,3,6747
2021,9,1,22463
2021,9,2,41687
2021,9,3,7578
2022,9,1,22255
2022,9,2,41381
2022,9,3,7513
2023,9,1,16035
2023,9,2,39859
2023,9,3,5833
2015,10,1,16096
2015,10,2,29453
2015,10,3,4602
2016,10,1,17277
2016,10,2,32999
2016,10,3,5258
2017,10,1,20107
2017,10,2,35717
2017,10,3,6324
2018,10,1,20662
2018,10,2,38188
2018,10,3,6465
2019,10,1,20735
2019,10,2,41094
2019,10,3,6860
2020,10,1,21852
2020,10,2,41825
2020,10,3,6824
2021,10,1,22115
2021,10,2,41732
2021,10,3,7603
2022,10,1,22090
2022,10,2,41198
2022,10,3,7386
2023,10,1,15661
2023,10,2,39819
2023,10,3,5893
2015,11,1,16191
2015,11,2,29626
