year,month,treatment,final_re,N_ID
2015,1,1,1,12719
2015,1,1,2,584
2015,1,1,3,45
2015,1,1,4,1648
2015,1,1,5,123
2015,1,1,9,41
2015,1,1,99,40
2015,1,2,1,23445
2015,1,2,2,802
2015,1,2,3,67
2015,1,2,4,2020
2015,1,2,5,345
2015,1,2,9,409
2015,1,2,99,-1
2015,1,3,1,3223
2015,1,3,2,212
2015,1,3,3,18
2015,1,3,4,240
2015,1,3,5,53
2015,1,3,9,43
2015,1,3,99,-1
2016,1,1,1,13592
2016,1,1,2,659
2016,1,1,3,47
2016,1,1,4,1860
2016,1,1,5,131
2016,1,1,9,74
2016,1,1,99,23
2016,1,2,1,25981
2016,1,2,2,930
2016,1,2,3,72
2016,1,2,4,2343
2016,1,2,5,393
2016,1,2,9,585
2016,1,2,99,286
2016,1,3,1,3926
2016,1,3,2,274
2016,1,3,3,28
2016,1,3,4,365
2016,1,3,5,62
2016,1,3,9,64
2016,1,3,99,33
2017,1,1,1,14362
2017,1,1,2,708
2017,1,1,3,50
2017,1,1,4,1960
2017,1,1,5,140
2017,1,1,9,122
2017,1,1,99,39
2017,1,2,1,28603
2017,1,2,2,1075
2017,1,2,3,80
2017,1,2,4,2770
2017,1,2,5,421
2017,1,2,9,587
2017,1,2,99,356
2017,1,3,1,4440
2017,1,3,2,365
2017,1,3,3,40
2017,1,3,4,531
2017,1,3,5,59
2017,1,3,9,80
2017,1,3,99,76
2018,1,1,1,16566
2018,1,1,2,866
2018,1,1,3,55
2018,1,1,4,2498
2018,1,1,5,145
2018,1,1,9,147
2018,1,1,99,39
2018,1,2,1,30674
2018,1,2,2,1246
2018,1,2,3,99
2018,1,2,4,2966
2018,1,2,5,438
2018,1,2,9,672
2018,1,2,99,450
2018,1,3,1,5084
2018,1,3,2,465
2018,1,3,3,50
2018,1,3,4,604
2018,1,3,5,97
2018,1,3,9,112
2018,1,3,99,118
2019,1,1,1,16717
2019,1,1,2,924
2019,1,1,3,63
2019,1,1,4,2625
2019,1,1,5,158
2019,1,1,9,195
2019,1,1,99,47
2019,1,2,1,32289
2019,1,2,2,1413
2019,1,2,3,109
2019,1,2,4,3403
2019,1,2,5,492
2019,1,2,9,703
2019,1,2,99,333
2019,1,3,1,4673
2019,1,3,2,493
2019,1,3,3,52
2019,1,3,4,652
2019,1,3,5,95
2019,1,3,9,121
2019,1,3,99,72
2020,1,1,1,16783
2020,1,1,2,902
2020,1,1,3,65
2020,1,1,4,2785
2020,1,1,5,176
2020,1,1,9,206
2020,1,1,99,49
2020,1,2,1,34656
2020,1,2,2,1606
2020,1,2,3,112
2020,1,2,4,3808
2020,1,2,5,535
2020,1,2,9,760
2020,1,2,99,465
2020,1,3,1,4999
2020,1,3,2,590
2020,1,3,3,61
2020,1,3,4,806
2020,1,3,5,130
2020,1,3,9,163
2020,1,3,99,136
2021,1,1,1,17820
2021,1,1,2,986
2021,1,1,3,79
2021,1,1,4,3133
2021,1,1,5,200
2021,1,1,9,177
2021,1,1,99,53
2021,1,2,1,34548
2021,1,2,2,1697
2021,1,2,3,123
2021,1,2,4,3895
2021,1,2,5,534
2021,1,2,9,728
2021,1,2,99,416
2021,1,3,1,5004
2021,1,3,2,632
2021,1,3,3,87
2021,1,3,4,844
2021,1,3,5,131
2021,1,3,9,148
2021,1,3,99,178
2022,1,1,1,17899
2022,1,1,2,1018
2022,1,1,3,78
2022,1,1,4,3214
2022,1,1,5,185
2022,1,1,9,185
2022,1,1,99,58
2022,1,2,1,34291
2022,1,2,2,1680
2022,1,2,3,120
2022,1,2,4,3965
2022,1,2,5,534
2022,1,2,9,711
2022,1,2,99,420
2022,1,3,1,5338
2022,1,3,2,657
2022,1,3,3,72
2022,1,3,4,943
2022,1,3,5,164
2022,1,3,9,150
2022,1,3,99,221
2023,1,1,1,16764
2023,1,1,2,967
2023,1,1,3,62
2023,1,1,4,3038
2023,1,1,5,176
2023,1,1,9,131
2023,1,1,99,41
2023,1,2,1,33654
2023,1,2,2,1655
2023,1,2,3,130
2023,1,2,4,3854
2023,1,2,5,544
2023,1,2,9,654
2023,1,2,99,345
2023,1,3,1,4992
2023,1,3,2,674
2023,1,3,3,79
2023,1,3,4,945
2023,1,3,5,177
2023,1,3,9,141
2023,1,3,99,188
2015,2,1,1,12694
2015,2,1,2,585
2015,2,1,3,43
2015,2,1,4,1656
2015,2,1,5,120
2015,2,1,9,46
2015,2,1,99,44
2015,2,2,1,23451
2015,2,2,2,800
2015,2,2,3,65
2015,2,2,4,2045
2015,2,2,5,353
2015,2,2,9,418
2015,2,2,99,-1
2015,2,3,1,3205
2015,2,3,2,219
2015,2,3,3,21
2015,2,3,4,243
2015,2,3,5,54
2015,2,3,9,43
2015,2,3,99,-1
2016,2,1,1,13726
2016,2,1,2,653
2016,2,1,3,47
2016,2,1,4,1860
2016,2,1,5,134
2016,2,1,9,75
2016,2,1,99,27
