year,month,treatment,final_sex,N_ID
2015,1,1,1,8551
2015,1,1,2,6609
2015,1,1,99,40
2015,1,2,1,16219
2015,1,2,2,10869
2015,1,2,99,-1
2015,1,3,1,2270
2015,1,3,2,1519
2015,1,3,99,-1
2016,1,1,1,9312
2016,1,1,2,7051
2016,1,1,99,23
2016,1,2,1,18272
2016,1,2,2,12032
2016,1,2,99,286
2016,1,3,1,2970
2016,1,3,2,1749
2016,1,3,99,33
2017,1,1,1,9951
2017,1,1,2,7391
2017,1,1,99,39
2017,1,2,1,20092
2017,1,2,2,13444
2017,1,2,99,356
2017,1,3,1,3409
2017,1,3,2,2106
2017,1,3,99,76
2018,1,1,1,11403
2018,1,1,2,8874
2018,1,1,99,39
2018,1,2,1,21674
2018,1,2,2,14421
2018,1,2,99,450
2018,1,3,1,3815
2018,1,3,2,2597
2018,1,3,99,118
2019,1,1,1,11662
2019,1,1,2,9020
2019,1,1,99,47
2019,1,2,1,23176
2019,1,2,2,15233
2019,1,2,99,333
2019,1,3,1,3576
2019,1,3,2,2510
2019,1,3,99,72
2020,1,1,1,11832
2020,1,1,2,9085
2020,1,1,99,49
2020,1,2,1,25327
2020,1,2,2,16150
2020,1,2,99,465
2020,1,3,1,3902
2020,1,3,2,2847
2020,1,3,99,136
2021,1,1,1,12920
2021,1,1,2,9475
2021,1,1,99,53
2021,1,2,1,25534
2021,1,2,2,15991
2021,1,2,99,416
2021,1,3,1,3941
2021,1,3,2,2905
2021,1,3,99,178
2022,1,1,1,13145
2022,1,1,2,9434
2022,1,1,99,58
2022,1,2,1,25498
2022,1,2,2,15803
2022,1,2,99,420
2022,1,3,1,4102
2022,1,3,2,3222
2022,1,3,99,221
2023,1,1,1,12259
2023,1,1,2,8879
2023,1,1,99,41
2023,1,2,1,24948
2023,1,2,2,15543
2023,1,2,99,345
2023,1,3,1,3742
2023,1,3,2,3266
2023,1,3,99,188
2015,2,1,1,8536
2015,2,1,2,6608
2015,2,1,99,44
2015,2,2,1,16228
2015,2,2,2,10904
2015,2,2,99,-1
2015,2,3,1,2275
2015,2,3,2,1510
2015,2,3,99,-1
2016,2,1,1,9405
2016,2,1,2,7090
2016,2,1,99,27
2016,2,2,1,18379
2016,2,2,2,12033
2016,2,2,99,322
2016,2,3,1,3035
2016,2,3,2,1754
2016,2,3,99,44
2017,2,1,1,9934
2017,2,1,2,7332
2017,2,1,99,39
2017,2,2,1,20113
2017,2,2,2,13451
2017,2,2,99,341
2017,2,3,1,3448
2017,2,3,2,2118
2017,2,3,99,77
2018,2,1,1,11397
2018,2,1,2,8840
2018,2,1,99,40
2018,2,2,1,21706
2018,2,2,2,14413
2018,2,2,99,446
2018,2,3,1,3789
2018,2,3,2,2572
2018,2,3,99,126
2019,2,1,1,11659
2019,2,1,2,8984
