year,month,treatment,age_grp_twenty,N_ID
2015,1,1,.,32
2015,1,1,1,26
2015,1,1,2,9233
2015,1,1,3,5144
2015,1,1,4,684
2015,1,1,5,-1
2015,1,2,.,83
2015,1,2,1,135
2015,1,2,2,15452
2015,1,2,3,10296
2015,1,2,4,1131
2015,1,2,5,-1
2015,1,3,.,17
2015,1,3,1,112
2015,1,3,2,2014
2015,1,3,3,1401
2015,1,3,4,249
2015,1,3,5,-1
2016,1,1,.,42
2016,1,1,1,28
2016,1,1,2,9646
2016,1,1,3,5733
2016,1,1,4,829
2016,1,1,5,-1
2016,1,2,.,145
2016,1,2,1,137
2016,1,2,2,16863
2016,1,2,3,11907
2016,1,2,4,1546
2016,1,2,5,-1
2016,1,3,.,24
2016,1,3,1,109
2016,1,3,2,2514
2016,1,3,3,1791
2016,1,3,4,317
2016,1,3,5,-1
2017,1,1,.,44
2017,1,1,1,28
2017,1,1,2,9956
2017,1,1,3,6204
2017,1,1,4,1001
2017,1,1,5,-1
2017,1,2,.,133
2017,1,2,1,113
2017,1,2,2,17978
2017,1,2,3,13645
2017,1,2,4,2027
2017,1,2,5,-1
2017,1,3,.,27
2017,1,3,1,100
2017,1,3,2,3000
2017,1,3,3,2036
2017,1,3,4,426
2017,1,3,5,-1
2018,1,1,.,46
2018,1,1,1,26
2018,1,1,2,11067
2018,1,1,3,7781
2018,1,1,4,1307
2018,1,1,5,-1
2018,1,2,.,159
2018,1,2,1,99
2018,1,2,2,18520
2018,1,2,3,15145
2018,1,2,4,2621
2018,1,2,5,-1
2018,1,3,.,31
2018,1,3,1,94
2018,1,3,2,3099
2018,1,3,3,2678
2018,1,3,4,621
2018,1,3,5,-1
2019,1,1,.,46
2019,1,1,1,34
2019,1,1,2,10842
2019,1,1,3,8191
2019,1,1,4,1497
2019,1,1,5,-1
2019,1,2,.,102
2019,1,2,1,85
2019,1,2,2,18592
2019,1,2,3,16626
2019,1,2,4,3325
2019,1,2,5,17
2019,1,3,.,20
2019,1,3,1,91
2019,1,3,2,2699
2019,1,3,3,2627
2019,1,3,4,714
2019,1,3,5,-1
2020,1,1,.,52
2020,1,1,1,24
2020,1,1,2,10453
2020,1,1,3,8581
2020,1,1,4,1686
2020,1,1,5,-1
2020,1,2,.,123
2020,1,2,1,92
2020,1,2,2,19152
2020,1,2,3,18538
2020,1,2,4,4020
2020,1,2,5,20
2020,1,3,.,29
2020,1,3,1,112
2020,1,3,2,2758
2020,1,3,3,3004
2020,1,3,4,969
2020,1,3,5,17
2021,1,1,.,55
2021,1,1,1,22
2021,1,1,2,10732
2021,1,1,3,9446
2021,1,1,4,1938
2021,1,1,5,-1
2021,1,2,.,133
2021,1,2,1,86
2021,1,2,2,17727
2021,1,2,3,19297
2021,1,2,4,4665
2021,1,2,5,34
2021,1,3,.,48
2021,1,3,1,122
2021,1,3,2,2642
2021,1,3,3,3091
2021,1,3,4,1111
2021,1,3,5,16
2022,1,1,.,39
2022,1,1,1,21
2022,1,1,2,10153
2022,1,1,3,10018
2022,1,1,4,2083
2022,1,1,5,-1
2022,1,2,.,140
2022,1,2,1,102
2022,1,2,2,16236
2022,1,2,3,19904
2022,1,2,4,5293
2022,1,2,5,44
2022,1,3,.,46
2022,1,3,1,117
2022,1,3,2,2752
2022,1,3,3,3376
2022,1,3,4,1232
2022,1,3,5,21
2015,2,1,.,34
2015,2,1,1,31
2015,2,1,2,9227
2015,2,1,3,5135
2015,2,1,4,679
2015,2,1,5,-1
2015,2,2,.,83
2015,2,2,1,148
2015,2,2,2,15484
2015,2,2,3,10297
2015,2,2,4,1133
2015,2,2,5,-1
2015,2,3,.,20
2015,2,3,1,126
2015,2,3,2,2013
2015,2,3,3,1399
2015,2,3,4,232
2015,2,3,5,-1
2016,2,1,.,44
2016,2,1,1,26
2016,2,1,2,9750
2016,2,1,3,5768
2016,2,1,4,823
2016,2,1,5,-1
2016,2,2,.,154
2016,2,2,1,138
2016,2,2,2,16931
2016,2,2,3,11974
2016,2,2,4,1544
2016,2,2,5,-1
2016,2,3,.,23
2016,2,3,1,113
2016,2,3,2,2579
2016,2,3,3,1802
2016,2,3,4,316
2016,2,3,5,-1
2017,2,1,.,39
2017,2,1,1,29
2017,2,1,2,9932
2017,2,1,3,6171
2017,2,1,4,990
2017,2,1,5,-1
2017,2,2,.,126
2017,2,2,1,109
2017,2,2,2,17994
2017,2,2,3,13667
2017,2,2,4,2014
2017,2,2,5,-1
2017,2,3,.,22
2017,2,3,1,96
2017,2,3,2,2998
2017,2,3,3,2093
2017,2,3,4,430
2017,2,3,5,-1
2018,2,1,.,44
2018,2,1,1,27
2018,2,1,2,11092
2018,2,1,3,7726
2018,2,1,4,1300
2018,2,1,5,-1
2018,2,2,.,138
2018,2,2,1,95
2018,2,2,2,18542
2018,2,2,3,15181
2018,2,2,4,2608
2018,2,2,5,-1
2018,2,3,.,26
2018,2,3,1,102
2018,2,3,2,3081
2018,2,3,3,2643
2018,2,3,4,629
2018,2,3,5,-1
2019,2,1,.,54
2019,2,1,1,37
2019,2,1,2,10845
2019,2,1,3,8152
2019,2,1,4,1485
2019,2,1,5,-1
2019,2,2,.,90
2019,2,2,1,90
2019,2,2,2,18485
2019,2,2,3,16515
2019,2,2,4,3275
2019,2,2,5,16
2019,2,3,.,23
2019,2,3,1,96
2019,2,3,2,2739
2019,2,3,3,2689
2019,2,3,4,704
2019,2,3,5,-1
2020,2,1,.,47
2020,2,1,1,27
2020,2,1,2,10525
2020,2,1,3,8624
2020,2,1,4,1691
2020,2,1,5,-1
2020,2,2,.,123
2020,2,2,1,84
2020,2,2,2,19200
2020,2,2,3,18577
2020,2,2,4,3990
2020,2,2,5,20
2020,2,3,.,32
2020,2,3,1,111
2020,2,3,2,2726
2020,2,3,3,3041
2020,2,3,4,947
2020,2,3,5,17
2021,2,1,.,52
2021,2,1,1,27
2021,2,1,2,10790
2021,2,1,3,9427
2021,2,1,4,1904
2021,2,1,5,-1
2021,2,2,.,126
2021,2,2,1,82
2021,2,2,2,17612
2021,2,2,3,19201
2021,2,2,4,4616
2021,2,2,5,28
2021,2,3,.,47
2021,2,3,1,122
2021,2,3,2,2690
2021,2,3,3,3165
2021,2,3,4,1091
2021,2,3,5,15
2022,2,1,.,35
2022,2,1,1,22
2022,2,1,2,10148
2022,2,1,3,10017
2022,2,1,4,2056
2022,2,1,5,-1
2022,2,2,.,144
2022,2,2,1,106
2022,2,2,2,16256
2022,2,2,3,19826
2022,2,2,4,5264
2022,2,2,5,43
2022,2,3,.,44
2022,2,3,1,116
2022,2,3,2,2761
2022,2,3,3,3389
2022,2,3,4,1216
2022,2,3,5,18
2015,3,1,.,33
2015,3,1,1,36
2015,3,1,2,9397
2015,3,1,3,5214
2015,3,1,4,676
2015,3,1,5,-1
2015,3,2,.,81
2015,3,2,1,159
2015,3,2,2,15814
2015,3,2,3,10409
2015,3,2,4,1125
2015,3,2,5,-1
2015,3,3,.,17
2015,3,3,1,129
2015,3,3,2,2134
2015,3,3,3,1469
2015,3,3,4,251
2015,3,3,5,-1
2016,3,1,.,45
2016,3,1,1,28
2016,3,1,2,9851
2016,3,1,3,5788
2016,3,1,4,826
2016,3,1,5,-1
2016,3,2,.,150
2016,3,2,1,150
2016,3,2,2,17152
2016,3,2,3,12143
2016,3,2,4,1560
2016,3,2,5,-1
2016,3,3,.,19
2016,3,3,1,125
2016,3,3,2,2726
2016,3,3,3,1868
2016,3,3,4,314
2016,3,3,5,-1
2017,3,1,.,42
2017,3,1,1,33
2017,3,1,2,10086
2017,3,1,3,6162
2017,3,1,4,979
2017,3,1,5,-1
2017,3,2,.,123
2017,3,2,1,112
2017,3,2,2,18305
2017,3,2,3,13813
2017,3,2,4,2025
2017,3,2,5,-1
2017,3,3,.,26
2017,3,3,1,95
2017,3,3,2,3159
2017,3,3,3,2229
2017,3,3,4,461
2017,3,3,5,-1
2018,3,1,.,43
2018,3,1,1,33
2018,3,1,2,11074
2018,3,1,3,7687
2018,3,1,4,1291
2018,3,1,5,-1
2018,3,2,.,125
2018,3,2,1,108
2018,3,2,2,18733
2018,3,2,3,15330
2018,3,2,4,2628
2018,3,2,5,-1
2018,3,3,.,28
2018,3,3,1,109
2018,3,3,2,3134
2018,3,3,3,2677
2018,3,3,4,637
2018,3,3,5,-1
2019,3,1,.,54
2019,3,1,1,37
2019,3,1,2,10938
2019,3,1,3,8218
2019,3,1,4,1483
2019,3,1,5,-1
2019,3,2,.,96
2019,3,2,1,95
2019,3,2,2,18728
2019,3,2,3,16581
2019,3,2,4,3274
2019,3,2,5,17
2019,3,3,.,24
2019,3,3,1,91
2019,3,3,2,2867
2019,3,3,3,2785
2019,3,3,4,741
2019,3,3,5,-1
2020,3,1,.,49
2020,3,1,1,28
2020,3,1,2,10583
2020,3,1,3,8647
2020,3,1,4,1692
2020,3,1,5,-1
2020,3,2,.,125
2020,3,2,1,88
2020,3,2,2,19434
2020,3,2,3,18674
2020,3,2,4,4005
2020,3,2,5,20
2020,3,3,.,32
2020,3,3,1,120
2020,3,3,2,2771
2020,3,3,3,3085
2020,3,3,4,935
2020,3,3,5,16
2021,3,1,.,45
2021,3,1,1,28
2021,3,1,2,10886
2021,3,1,3,9462
2021,3,1,4,1922
2021,3,1,5,-1
2021,3,2,.,135
2021,3,2,1,85
2021,3,2,2,17661
2021,3,2,3,19248
2021,3,2,4,4614
2021,3,2,5,30
2021,3,3,.,50
2021,3,3,1,140
2021,3,3,2,2868
2021,3,3,3,3322
2021,3,3,4,1136
2021,3,3,5,17
2022,3,1,.,35
2022,3,1,1,24
2022,3,1,2,10260
2022,3,1,3,10165
2022,3,1,4,2063
2022,3,1,5,-1
2022,3,2,.,150
2022,3,2,1,111
2022,3,2,2,16436
2022,3,2,3,19899
2022,3,2,4,5293
2022,3,2,5,39
2022,3,3,.,53
2022,3,3,1,122
2022,3,3,2,2899
2022,3,3,3,3496
2022,3,3,4,1263
2022,3,3,5,22
2015,4,1,.,31
2015,4,1,1,42
2015,4,1,2,9414
2015,4,1,3,5255
2015,4,1,4,663
2015,4,1,5,-1
2015,4,2,.,77
2015,4,2,1,179
2015,4,2,2,15999
2015,4,2,3,10580
2015,4,2,4,1148
2015,4,2,5,-1
2015,4,3,.,18
2015,4,3,1,137
2015,4,3,2,2221
2015,4,3,3,1538
2015,4,3,4,257
2015,4,3,5,-1
2016,4,1,.,44
2016,4,1,1,28
2016,4,1,2,9843
2016,4,1,3,5775
2016,4,1,4,819
2016,4,1,5,-1
2016,4,2,.,142
2016,4,2,1,150
2016,4,2,2,17242
2016,4,2,3,12228
2016,4,2,4,1556
2016,4,2,5,-1
2016,4,3,.,17
2016,4,3,1,130
2016,4,3,2,2800
2016,4,3,3,1859
2016,4,3,4,327
2016,4,3,5,-1
2017,4,1,.,44
2017,4,1,1,36
2017,4,1,2,10135
2017,4,1,3,6165
2017,4,1,4,984
2017,4,1,5,-1
2017,4,2,.,124
2017,4,2,1,109
2017,4,2,2,18428
2017,4,2,3,13887
2017,4,2,4,2029
2017,4,2,5,-1
2017,4,3,.,28
2017,4,3,1,106
2017,4,3,2,3199
2017,4,3,3,2348
2017,4,3,4,480
2017,4,3,5,-1
2018,4,1,.,41
2018,4,1,1,38
2018,4,1,2,11140
2018,4,1,3,7743
2018,4,1,4,1303
2018,4,1,5,-1
2018,4,2,.,113
2018,4,2,1,107
2018,4,2,2,18799
2018,4,2,3,15391
2018,4,2,4,2658
2018,4,2,5,-1
2018,4,3,.,25
2018,4,3,1,112
2018,4,3,2,3101
2018,4,3,3,2665
2018,4,3,4,637
2018,4,3,5,-1
2019,4,1,.,55
2019,4,1,1,35
2019,4,1,2,10987
2019,4,1,3,8185
2019,4,1,4,1477
2019,4,1,5,-1
2019,4,2,.,94
2019,4,2,1,102
2019,4,2,2,18857
2019,4,2,3,16686
2019,4,2,4,3285
2019,4,2,5,17
2019,4,3,.,24
2019,4,3,1,88
2019,4,3,2,2922
2019,4,3,3,2821
2019,4,3,4,747
2019,4,3,5,-1
2020,4,1,.,53
2020,4,1,1,32
2020,4,1,2,10594
2020,4,1,3,8605
2020,4,1,4,1695
2020,4,1,5,-1
2020,4,2,.,130
2020,4,2,1,87
2020,4,2,2,19451
2020,4,2,3,18699
2020,4,2,4,3984
2020,4,2,5,21
2020,4,3,.,36
2020,4,3,1,118
2020,4,3,2,2687
2020,4,3,3,2993
2020,4,3,4,915
2020,4,3,5,13
2021,4,1,.,38
2021,4,1,1,25
2021,4,1,2,10818
2021,4,1,3,9412
2021,4,1,4,1896
2021,4,1,5,-1
2021,4,2,.,133
2021,4,2,1,84
2021,4,2,2,17632
2021,4,2,3,19224
2021,4,2,4,4618
2021,4,2,5,32
2021,4,3,.,46
2021,4,3,1,138
2021,4,3,2,2976
2021,4,3,3,3379
2021,4,3,4,1122
2021,4,3,5,17
2022,4,1,.,36
2022,4,1,1,29
2022,4,1,2,10291
2022,4,1,3,10158
2022,4,1,4,2040
2022,4,1,5,-1
2022,4,2,.,149
2022,4,2,1,114
2022,4,2,2,16446
2022,4,2,3,19866
2022,4,2,4,5285
2022,4,2,5,37
2022,4,3,.,61
2022,4,3,1,133
2022,4,3,2,2907
2022,4,3,3,3506
2022,4,3,4,1264
2022,4,3,5,22
2015,5,1,.,30
2015,5,1,1,44
2015,5,1,2,9377
2015,5,1,3,5259
2015,5,1,4,667
2015,5,1,5,-1
2015,5,2,.,80
2015,5,2,1,184
2015,5,2,2,16104
2015,5,2,3,10652
2015,5,2,4,1159
2015,5,2,5,-1
2015,5,3,.,17
2015,5,3,1,137
2015,5,3,2,2235
2015,5,3,3,1548
2015,5,3,4,262
2015,5,3,5,-1
2016,5,1,.,43
2016,5,1,1,26
2016,5,1,2,9961
2016,5,1,3,5793
2016,5,1,4,823
2016,5,1,5,-1
2016,5,2,.,129
2016,5,2,1,156
2016,5,2,2,17437
2016,5,2,3,12313
2016,5,2,4,1574
2016,5,2,5,-1
2016,5,3,.,15
2016,5,3,1,130
2016,5,3,2,2856
2016,5,3,3,1879
2016,5,3,4,319
2016,5,3,5,-1
2017,5,1,.,40
2017,5,1,1,39
2017,5,1,2,10220
2017,5,1,3,6214
2017,5,1,4,982
2017,5,1,5,-1
2017,5,2,.,119
2017,5,2,1,106
2017,5,2,2,18514
2017,5,2,3,14017
2017,5,2,4,2044
2017,5,2,5,-1
2017,5,3,.,29
2017,5,3,1,110
2017,5,3,2,3273
2017,5,3,3,2452
2017,5,3,4,505
2017,5,3,5,-1
2018,5,1,.,42
2018,5,1,1,41
2018,5,1,2,11229
2018,5,1,3,7779
2018,5,1,4,1290
2018,5,1,5,-1
2018,5,2,.,111
2018,5,2,1,102
2018,5,2,2,18973
2018,5,2,3,15478
2018,5,2,4,2686
2018,5,2,5,-1
2018,5,3,.,23
2018,5,3,1,117
2018,5,3,2,3139
2018,5,3,3,2730
2018,5,3,4,642
2018,5,3,5,-1
2019,5,1,.,52
2019,5,1,1,34
2019,5,1,2,11030
2019,5,1,3,8189
2019,5,1,4,1466
2019,5,1,5,-1
2019,5,2,.,92
2019,5,2,1,100
2019,5,2,2,19017
2019,5,2,3,16790
2019,5,2,4,3329
2019,5,2,5,16
2019,5,3,.,25
2019,5,3,1,101
2019,5,3,2,2946
2019,5,3,3,2819
2019,5,3,4,764
2019,5,3,5,-1
2020,5,1,.,53
2020,5,1,1,30
2020,5,1,2,10645
